   # This file was created in 2015
   # frequency [MHz]   real(s11)   imag(s11)   real(s12s21)   imag(s12s21)   real(s22)   imag(s22)
   1.4800000000000000e+02   4.8441253863848038e-03   6.5496167166801365e-04   7.3242397084521149e-01  -6.6914222470566698e-01   3.2590645145478300e-03  -1.6901818920079413e-03
   1.4900000000000000e+02   4.8684684902860478e-03   6.3615543430636313e-04   7.2906014751760972e-01  -6.7273663167707443e-01   3.2631886028979089e-03  -1.7180543912439479e-03
   1.5000000000000000e+02   4.8931304421197686e-03   6.1659209954895427e-04   7.2567643002347582e-01  -6.7632044358141463e-01   3.2681359759697730e-03  -1.7475460620662141e-03
   1.5100000000000000e+02   4.9164163717338094e-03   5.9757541608129077e-04   7.2227373967737007e-01  -6.7988997284282815e-01   3.2730893934640785e-03  -1.7795847878880940e-03
   1.5200000000000000e+02   4.9399909461253760e-03   5.7674312591223951e-04   7.1885358545013889e-01  -6.8344243060058529e-01   3.2773364441218869e-03  -1.8106354513781203e-03
   1.5300000000000000e+02   4.9644398297578217e-03   5.5716285965441660e-04   7.1541684493518765e-01  -6.8697633834671468e-01   3.2812154562974110e-03  -1.8409066564825001e-03
   1.5400000000000000e+02   4.9885959126788251e-03   5.3742133438280872e-04   7.1196607227581787e-01  -6.9048953121349244e-01   3.2859549408419389e-03  -1.8711377560427667e-03
   1.5500000000000000e+02   5.0113431867813592e-03   5.1668675723049861e-04   7.0849555762229011e-01  -6.9398540528987895e-01   3.2886243657641208e-03  -1.8995589201317156e-03
   1.5600000000000000e+02   5.0354756943505391e-03   4.9789398338350105e-04   7.0500956769141976e-01  -6.9746448421084017e-01   3.2929996562585527e-03  -1.9324665104595131e-03
   1.5700000000000000e+02   5.0582095954581829e-03   4.7651615785599587e-04   7.0150422982196781e-01  -7.0092762760779448e-01   3.2959974595067197e-03  -1.9639171878192063e-03
